scenario_type,scenario,draw_n,custom_quantile,spend_q05,spend_q50,spend_q95,spend_q_custom,contribution_q05,contribution_q50,contribution_q95,contribution_q_custom,contribution_vs_current_q05,contribution_vs_current_q50,contribution_vs_current_q95,contribution_vs_current_q_custom,incremental_contribution_q05,q05_incremental_contribution,mean_incremental_contribution,incremental_contribution_q_custom,roi_q05,roi_q50,roi_q95,roi_q_custom,incremental_roi_q05,q05_incremental_roi,incremental_roi_q_custom,cost_per_kpi_q05,cost_per_kpi_q50,cost_per_kpi_q95,cost_per_kpi_q_custom,expected_profit,profit_q05,q05_profit,profit_q_custom,expected_incremental_profit,incremental_profit_q05,incremental_profit_q_custom,probability_profit_positive,probability_incremental_contribution_positive,value_per_cost_q05,value_per_cost_q50,value_per_cost_q95,value_per_cost_q_custom
scenario,all_channels_0.85x,12,0.2,910262.321170033,910262.321170033,910262.321170033,910262.321170033,72902.0978284454,96352.9112586158,126792.78434237,87036.8517210679,-15865.2025175745,-10465.9429398042,-5166.41090989055,-14264.728158705,-15865.2025175745,-15865.2025175745,-10999.2113307348,-14264.728158705,0.0800891085272413,0.105851806691027,0.139292576868823,0.0956173288697619,0.0321625182197463,0.0321625182197463,0.0543868817489675,7.17913346482013,9.44722425774815,12.4860922838199,8.12305845108599,2031228.36867872,1276800.61368333,1276800.61368333,1700843.230462,-169341.812656743,-315321.548261936,-267307.317495849,1,0,2.40267325581724,3.17555420073081,4.1787773060647,2.86851986609286
scenario,all_channels_1.15x,12,0.2,1231531.37570063,1231531.37570063,1231531.37570063,1231531.37570063,86494.5606393951,115711.049767042,151514.747785803,104856.79653972,5100.3677617358,8423.04705622228,10626.5962084631,7759.71441296401,5100.3677617358,5100.3677617358,8479.51617443351,7759.71441296401,0.070233339033029,0.0939570457157154,0.123029547419857,0.0851434227407043,0.0317513790376596,0.0317513790376596,0.0483066408266528,8.12812873794738,10.6441804665629,14.2382522854242,9.22644812487658,2294321.13930317,1363305.44348122,1363305.44348122,1914172.52049097,93750.9579677054,-7623.49441322578,72156.9051236205,1,1,2.10700017099087,2.81871137147146,3.69088642259571,2.55430268222113
scenario,all_channels_1.3x,12,0.2,1392165.90296593,1392165.90296593,1392165.90296593,1392165.90296593,91633.9291693494,124476.959169393,159041.528364119,110405.56301112,13493.4395477926,17037.0234003706,18642.7193219115,13709.6098823395,13493.4395477926,13493.4395477926,16236.6833689622,13709.6098823395,0.0658211273341261,0.0894124463932079,0.114240355998728,0.0793048894358837,0.0420004334606941,0.0420004334606941,0.0426732973157665,8.75347412267458,11.1850400626065,15.1926902576999,9.68516040254672,2366401.62787373,1356851.97211455,1356851.97211455,1920000.98736768,165831.446538265,83534.1319031766,90019.2419395852,1,1,1.97463382002378,2.68237339179624,3.42721067996185,2.37914668307651
scenario,all_channels_1x,12,0.2,1070896.84843533,1070896.84843533,1070896.84843533,1070896.84843533,78068.5087383359,106936.401211254,140933.16284525,96594.3381982327,0,0,0,0,0,0,0,0,0.072900119981117,0.0998568642418702,0.131602929872438,0.0901994793797039,,,,7.59861502300361,10.016042331485,13.7173985483018,8.5430063469101,2200570.18133547,1271158.41371474,1271158.41371474,1826933.29751165,0,0,0,1,0,2.18700359943351,2.99570592725611,3.94808789617315,2.70598438139112
scenario,search_social_push,12,0.2,1172814.38016754,1172814.38016754,1172814.38016754,1172814.38016754,84577.5215143299,113948.295799654,149032.598895238,102560.976969807,5734.37490862876,7280.17402053033,8256.82476890971,5901.22203406938,5734.37490862876,5734.37490862876,7058.53765411017,5901.22203406938,0.0721150106483585,0.0971579968037027,0.127072622416131,0.0874486011632604,0.0562648526820319,0.0562648526820319,0.057901932413113,7.86951572247602,10.295989201554,13.8667385750814,8.78656115081846,2310408.77922657,1364511.26526236,1364511.26526236,1904014.92892669,109838.597891101,70113.7155266589,75119.1292898773,1,1,2.16345031945075,2.91473990411108,3.81217867248393,2.62345803489781
scenario,tv_hold_efficiency_push,12,0.2,1139577.71416275,1139577.71416275,1139577.71416275,1139577.71416275,82622.7564432172,111474.110055265,145655.727195527,100877.746725396,3365.96165791748,4718.00056355587,5289.09190299542,4499.24292651034,3365.96165791748,3365.96165791748,4681.71437328247,4499.24292651034,0.0725029591368591,0.0978205423551701,0.127815527967341,0.0885220423948983,0.0490087249522505,0.0490087249522505,0.0655094090451193,7.82377552949215,10.2250554764695,13.7925404963453,8.75427284714204,2272340.74680652,1339104.97913377,1339104.97913377,1886754.68759914,71770.565471056,32297.9840101063,66296.4220678922,1,1,2.17508877410577,2.9346162706551,3.83446583902022,2.65566127184695
