variable,role,draw_n,coef_q05,coef_q50,coef_q95,coef_mean,probability_coef_positive
display,media,400,0.483185115790743,0.693624748433657,0.906147974691254,0.692580500677003,1
paid_search,media,400,1.24154005893662,1.53156879886962,1.86456484700789,1.53391946507381,1
paid_social,media,400,0.74822025507283,1.05471583089989,1.32207413412912,1.04789754269158,1
retail_media,media,400,0.721498246144777,0.957658127812821,1.16360197923596,0.954666292593121,1
tv,media,400,0.972363765355201,1.23428492183232,1.49049253615735,1.22900981474676,1
