plan_type,plan_name,spend,contribution,incremental_contribution,roi,cost_per_kpi,expected_profit,q05_profit,probability_profit_positive,probability_incremental_contribution_positive
scenario,all_channels_1.3x,1355402.0144919,118660.653079405,16281.3540400987,0.0875464635663001,11.42250593872,,,,
scenario,all_channels_1.15x,1199009.47435822,111077.097978691,8697.79893938506,0.0926407174873628,10.7943896282583,,,,
scenario,search_social_push,1136474.12276181,109169.812010487,6790.51297118147,0.0960600948354085,10.4101500390294,,,,
scenario,tv_hold_efficiency_push,1111297.79995196,107068.749324732,4689.45028542615,0.096345686394197,10.3792918751807,,,,
scenario,all_channels_1x,1042616.93422454,102379.299039306,0,0.0981945484277523,10.1838647461754,,,,
scenario,all_channels_0.85x,886224.394090857,92396.6439243542,-9982.65511495178,0.104258745911796,9.59152147145534,,,,
optimized,response_curve_table_greedy_marginal_point_estimate,1126026.2889625,112673.207255239,10293.908215933,0.100062679139627,9.99373601225097,2367643.93437561,1760940.33319127,1,1
