variable,current_multiplier,current_spend,current_support,current_contribution,current_roi,current_mroi,current_cost_per_kpi,max_grid_multiplier,max_grid_spend,max_grid_support,contribution_at_max_grid_multiplier,peak_grid_multiplier,peak_grid_spend,peak_grid_support,peak_grid_contribution,contribution_headroom_to_peak_grid,headroom_pct_of_current_contribution,pct_of_peak_grid_contribution,multiplier_to_90pct_peak_grid,spend_to_90pct_peak_grid,support_to_90pct_peak_grid,saturation_band,curve_non_monotonic_flag,decisioning_basis,interpretation_note
display,1,43909.2348339426,10977.3087084857,7886.24468344324,0.17960332748379,0.125461896030638,5.5678255743355,2.2,96600.3166346738,24150.0791586685,12551.4027829781,2.2,96600.3166346738,24150.0791586685,12551.4027829781,4665.15809953482,0.591556347386618,0.628315800217837,1.8,79036.6227010968,19759.1556752742,low_saturation_grid,FALSE,response_curve_table_point_estimate,Grid-based response-curve headroom diagnostic. It ranks planning headroom over the supplied curve grid; it is not standalone causal proof of true saturation.
meta,1,108817.031462369,14508.9375283158,14242.3281662256,0.130883263169616,0.0789145093120454,7.64039630265074,2.2,239397.469217211,31919.6625622948,20686.3383045386,2.2,239397.469217211,31919.6625622948,20686.3383045386,6444.01013831295,0.452454827827541,0.68848957009955,1.7,184988.953486027,24665.1937981369,low_saturation_grid,FALSE,response_curve_table_point_estimate,Grid-based response-curve headroom diagnostic. It ranks planning headroom over the supplied curve grid; it is not standalone causal proof of true saturation.
paid_search,1,196231.04493548,21803.4494372756,22688.2382321364,0.115620024546046,0.0761944899419942,8.64902082425827,2.2,431708.298858056,47967.5887620063,34741.8539293076,2.2,431708.298858056,47967.5887620063,34741.8539293076,12053.6156971712,0.531271559027358,0.65305202993203,1.75,343404.32863709,38156.0365152322,low_saturation_grid,FALSE,response_curve_table_point_estimate,Grid-based response-curve headroom diagnostic. It ranks planning headroom over the supplied curve grid; it is not standalone causal proof of true saturation.
retail_media,1,145806.696861365,13255.154260124,16032.3819054357,0.10995641661562,0.0683050955075667,9.09451245119915,2.2,320774.733095002,29161.3393722729,23684.5374691763,2.2,320774.733095002,29161.3393722729,23684.5374691763,7652.15556374067,0.477293742681259,0.676913447277601,1.7,247871.38466432,22533.7622422109,low_saturation_grid,FALSE,response_curve_table_point_estimate,Grid-based response-curve headroom diagnostic. It ranks planning headroom over the supplied curve grid; it is not standalone causal proof of true saturation.
tiktok,1,60813.7484545321,9808.6691055697,9906.06711532591,0.162891901372142,0.0880647314706262,6.13904062495657,2.2,133790.246599971,21579.0720322533,13606.177181802,2.2,133790.246599971,21579.0720322533,13606.177181802,3700.1100664761,0.373519583846911,0.728056601274829,1.6,97301.9975272514,15693.8705689115,moderate_saturation_grid,FALSE,response_curve_table_point_estimate,Grid-based response-curve headroom diagnostic. It ranks planning headroom over the supplied curve grid; it is not standalone causal proof of true saturation.
tv,1,515319.091887645,28628.8384382025,35534.8879922892,0.0689570569996209,0.0357075586001113,14.5017789840639,2.2,1133702.00215282,62983.4445640456,47857.7309451333,2.2,1133702.00215282,62983.4445640456,47857.7309451333,12322.8429528441,0.346781533559865,0.742510923324559,1.55,798744.59242585,44374.6995792139,moderate_saturation_grid,FALSE,response_curve_table_point_estimate,Grid-based response-curve headroom diagnostic. It ranks planning headroom over the supplied curve grid; it is not standalone causal proof of true saturation.
