scenario,spend,contribution,contribution_vs_current,roi,cost_per_kpi
all_channels_1.3x,1392165.90296593,123125.205453665,16835.0573588089,0.0884414746772302,11.3069123242181
all_channels_1.15x,1231531.37570063,115287.015493245,8996.86739838857,0.0936127310825974,10.682307720706
search_social_push,1172814.38016754,113593.43258155,7303.28448669425,0.0968554227356279,10.3246671353606
tv_hold_efficiency_push,1139577.71416275,110979.598380282,4689.45028542615,0.097386599440319,10.2683531999988
all_channels_1x,1070896.84843533,106290.148094856,0,0.0992533951800815,10.0752220937696
all_channels_0.85x,910262.321170033,95955.9393199872,-10334.2087748688,0.105415699505882,9.48625304093531
