market,n,actual,pred,residual,rmse,mae,mape,smape,r_squared,bias,residual_share_of_actual
Midwest,78,68003.8742891525,67827.6042494708,176.270039681664,17.8263899968112,14.5217327534206,0.0167549728129339,0.0167599399496719,0.892411064349455,-2.25987230361108,0.0025920587837711
Northeast,78,81982.9148318371,81986.2490319739,-3.334200136817,21.0684752257947,15.9882696788551,0.0152083061459186,0.0152172836834074,0.82618742285243,0.0427461556002136,-4.06694509905642e-05
South,78,76106.7819591297,75940.3949565829,166.387002546809,17.0697459130609,14.1053617195505,0.0144553695191567,0.0144760341984758,0.905113804910316,-2.13316669931807,0.00218623095424218
West,78,63843.8549831686,63854.3687080674,-10.5137248988089,16.492902541068,13.0701459586195,0.0161484610420576,0.0161315524359672,0.906691004045422,0.134791344856524,-0.0001646787290896
