variable,role,draw_n,contribution_q05,contribution_q50,contribution_q95,contribution_mean,roi_q05,roi_q50,roi_q95,cost_per_kpi_q50,probability_contribution_positive
baseline,baseline_control,80,200163.000081025,201506.797854151,202468.263607131,201405.801348053,,,,,1
promo,baseline_control,80,1784.78495851939,1805.06287276168,1824.77250047182,1805.8635262286,,,,,1
display,media,80,6689.56760993388,6789.92506458904,6940.40963298985,6800.39278698143,0.152349901683159,0.154635467693013,0.158062641247048,6.46682176081907,1
meta,media,80,11291.4045440442,11486.2543507559,11655.9265587562,11478.8713458211,0.103765048469908,0.105555667126685,0.107114910249937,9.47367509782651,1
paid_search,media,80,23482.2140695307,23807.5533688968,24271.9033401959,23840.751189371,0.119666152097654,0.121324092101352,0.123690435161146,8.24238613956756,1
retail_media,media,80,12911.765606501,13104.1746636694,13277.83625553,13099.3143998003,0.088553995697315,0.0898736131175719,0.0910646530053062,11.1267363730359,1
tiktok,media,80,7223.76179964692,7339.97346715793,7464.82582043609,7345.43909936618,0.118785011337491,0.120695955333944,0.122748983743655,8.28528180729357,1
tv,media,80,25253.138240988,25596.3182214521,26099.5865043086,25613.4969653158,0.0490048566772177,0.0496708129475492,0.0506474278076992,20.1325482098384,1
